,Names,Organisation,Projects
341,Harshal Dupare,NumFOCUS,Adding Interactive Notebooks for Algorithms Implemented in NetworkX
342,arpitvaghela,OpenMined,Integrating Pandas into Syft
343,Fabian Schempp,Blender Foundation,Porting popular modifiers to Geometry Nodes
344,Nikhil Agarwal,Oppia Foundation,GSoC 2021 Proposal -- Implement schema validators for the handler params  (Nikhil Agarwal)
345,Umang Taneja,SPDX,MIGRATE SPDX ONLINE TOOLS TO DJANGO 3
346,Eshan Arora,Python Software Foundation,Automatic Generation of schema from directory
347,Nadezda Lutovinova,The Linux Foundation,Finding bugs related to memory errors in Linux Kernel and improving environment model specifications for static verification
348,Gangavarapu Praneeth,Oppia Foundation,Write Frontend Tests
349,Khanh-Tung Nguyen-Ba,NumFOCUS,GSOC Stan Proposal - Bayesian Computation Benchmark
350,Divyanshu Madan,Point Cloud Library,Enhancing and extending clang-bind
