,Names,Organisation,Projects
1060,Mishal Singhai,"Center for Research in Open Source Software, UC Santa Cruz",Object Centric Data Storage PDC_CEPH RADOS INTEGRATION
1061,Vasanth Mani Vasi,The Julia Language,Music Transformer
1062,Chandykunju Alex,TensorFlow,TensorFlow Implementation of Distribution Aware Coordinate Representation for Human Pose Estimation
1063,zyklotomic,Haskell.org,Visualization Libraries for ghc-debug
1064,Qijia “Joy” Liu,CNCF,Develop in-toto-rs (Rust) for integration with rebuilderd
1065,Tejasvi Chebrolu,SageMath,Lazy Formal Power Series
1066,Can Alpay,National Resource for Network Biology (NRNB),PD to AF conversion facility in Newt
1067,Divyank Lunkad,AOSSIE,Agora Android
1068,sh15h4nk,freifunk,Updation of the Json Schema to latest version (2020-12) along with the form generation and validation with the updated schema of the tools
1069,Omer Yacine,Shaka Player,Shaka-Streamer Enhancements
1070,Sushmita,Public Lab,GSoC Proposal 2021: Tag/Topic System Refinements
1071,Yash Varshney,Wikimedia Foundation,Add autocompletion to Page Forms spreadsheet-style display
1072,Tin Chon Chan,Point Cloud Library,Better Voxel Filter
1073,Ricardo Subtil,Godot Engine,Implementing a DAP backend for debugging Godot projects
1074,Dhruv Sondhi,TARDIS SN,Improving TARDIS Simulation Logging Framework
1075,Yunfei Zhao,Red Hen Lab,Gesture temporal detection pipeline for news videos
1076,Trung Ngo Tan,RoboComp,Sign Language Recognition
1077,Simran Kathpalia,FreeBSD Project,Syzkaller improvements
1078,Shivam Pathak,Digital Impact Alliance (DIAL) at UN Foundation,"OONI: Developing Unit, Integration and E2E tests for Probe Desktop apps"
1079,Shardul Semwal,Kodi,Achievement in RetroPlayer
1080,akash konda,Joplin,Real-Time Collaboration on a note
1081,Satyam Kumar,MBDyn,Convergence Criteria
1082,Martin Schulz,Python Software Foundation,mne-python: Enhancing Performance of Signal Browsing using PyQt
1083,Anuj Singhal,MIT App Inventor,Unified Color UI
1084,Laurine Dargaud,Pharo Consortium,Classes and Methods for Spatial Data
1085,Antriksh Misri,Python Software Foundation,Create new user interface widget
1086,sayandip18,Python Software Foundation,Python bindings for TACO compiler
1087,Ashish Patel,Project WikiLoop,Adding Tibetan Calendar in Unicode Common Locale Data Repository (CLDR) and International Components for Unicode (ICU) library
1088,Anuj Lamoria,CHAOSS Project,Automatically identify Contributor Aliases
1089,Junxuan Wu,The Apache Software Foundation,Proposal for cloudstack: cloning a VM
1090,Niklas Schmitz,The Julia Language,Automatic differentiation in density-functional theory
1091,Dimitris Papageorgiou,NumFOCUS,NetworkX - Louvain Community Detection Algorithm
1092,EXTREMOPHILARUM,OWASP Foundation,General Improvements
1093,Hae Dong Lee,The Apache Software Foundation,[Incubator-Nemo] Accurate Task Execution Simulator for Distributed Data Processing
1094,srikavin,strace,Generating Syscall Decoders from Declarative Definitions
1095,Isala Piyarisi,openSUSE Project,Logging Pipeline Plumber for Rancher
1096,Cian Jinks,Blender Foundation,Blender Knife Tool Improvements
1097,Kaaira Gupta,TianoCore,MinPlatform QemuOpenBoardPkg
1098,Aditya Kurkure,Google FHIR SDK,HAPI Struct <> Proto Conversion Tool
1099,Utkarsh A. Mishra,JdeRobot - Universidad Rey Juan Carlos,Behavior Metrics: Modular Framework for Deep and Reinforcement Learning with Multiple-Robots
1100,Haeter,The Honeynet Project,Replacing the core library of Quark-Engine
1101,Nippun Sharma,mlpack,Revamp mlpack bindings
1102,Nga Tran,INCF,Adding more functionality to AnalySim: a data sharing and analysis platform
1103,gorogoroumaru,The Honeynet Project,Make mitmweb’s UI rich and easy to use
1104,Dhruv P,CNCF,Adaptive Load Control and Distributed Load Testing of Envoy Data Planes
1105,Katie Chan,Processing Foundation,p5.js 2021 Showcase: The Love Ethic
1106,srnaveen2k,Digital Impact Alliance (DIAL) at UN Foundation,Circuitpython busio compatibility layer for pslab-python
1107,Meet Shah,The Terasology Foundation,Animal Interaction Improvements in Josharia’s Survival
1108,Bhumit Attarde,KDE Community,Integrating xfstests with KIO FUSE
1109,Tidiane,Django Software Foundation,Wagtail Live
1110,Anoushka Ramesh,INCF,Building a Working Prototype of the AutSPACEs website
1111,Piyush Singariya,CNCF,SMI Support for Multi-Cluster Operations
1112,Anmol .,The Linux Foundation,VirtIO-blk implementation with AGL on Jailhouse
1113,ayoubft,OSGeo - Open Source Geospatial Foundation,Integrating a module to 3d scan a house within the MapMint4ME android application.
1114,Pavit Kaur,Debian,Incremental Improvements to Debian’s CI platform
1115,Yongha Hwang,Xfce,Proposals for file transfer improvement and more
1116,Sahil Walke,INCF,Contribute new models to the Brain Dynamics toolbox (bdtoolbox)
1117,Gurudatta Patil,CERN-HSF,Upgrading the Ganga Graphical User Interface
1118,Manikant Rai,Google FHIR SDK,Android FHIR Client
1119,Lenka Hasova,NumFOCUS,"Competing destination for Spatial Interaction models, SpInt/PySal"
1120,Gagandeep Singh,NumFOCUS,Supporting Arrays and Allocatables in LFortran
1121,Dhruv Sachdev,CHAOSS Project,"Develop a Shared Data Resource Focused on Dependencies, Risks and Vulnerabilities in Open Source Software"
1122,Aoji Xie,Open Genome Informatics,Authentication and Authorization Service for the Alliance of Genome Resources
1123,Rashmi Raj,openastronomy,Modern Statistical Modeling in Stingray
1124,Lokesh Rana,Open Genome Informatics,Visualization Of Systems-Level Gene Annotation  (UI-Side)
1125,Fernando Martin,RoboComp,Port of AGM from Python 2 to Python 3
1126,Abhishek Kumar Jha,The ENIGMA Team,Android Support for ENIGMA
1127,Z0marlin,CNCF,OpenEBS: Update mount-points and capacity of Block Devices without restarting NDM
1128,Sudeep Sidhu,SymPy,Implement JointsMethod
1129,Zeeshan Rafique,Free and Open Source Silicon Foundation,M-extension support for SERV
1130,Arjun Gupta,Oppia Foundation,Implement feature flags & platform parameters
1131,Tushar Jain-2,CERN-HSF,Accuracy and parallel computation in parton density calculation
1132,Germano dos Santos,NumFOCUS,PySal: Open Source Facility Location Modeling (spopt) Development
1133,Jaiwanth,Matrix.org,Exporting Conversations From Element
1134,Anshuman Singh-1,GitLab,Writing SAST Vulnerability Rules
1135,Geetansh Saxena,NumFOCUS,COLOUR: Adding new colour models
1136,Abhirup Pal,Python Software Foundation,EOS: Improving Adobe XD Plugin and Creating Angular Library
1137,Mihai Popescu,Open Bioinformatics Foundation,"Data streaming in scientific workflows, implementation for Toil"
1138,Jeppe Blomgren,MetaCall,WebAssembly loader
1139,SUSHANT A.A.,Inkscape,Verbs to Gio::Actions
1140,Zulai Wang,Ceph,USING BALANCED_READS ON RGW CALLS TO RADOS
1141,Maneesh P M,Kiwix,Improve suggestion and full-text search features in Kiwix
1142,Zihao Mu,OpenCV,Loop closure algorithm based on HF-Net+BoW for depth fusion
1143,Dhairya Khanna,Wikimedia Foundation,Gamified Knowledge Base Completion Plugin for Wikibase/Wikidata
1144,Ross Viljoen,The Julia Language,Implementing Advanced Variational Gaussian Process Models
1145,Dev Sebastian,International Catrobat Association,Support for Particle Physics in Catrobat
1146,Nur El-Din El-Rez,International Catrobat Association,Room Database Integration
1147,Kartikay Sharma,Digital Impact Alliance (DIAL) at UN Foundation,PSLab: Add support of PSLab to sigrok
1148,Rishabh Kumar,The Libreswan Project,Extend RFC-7427 Signature Authentication Support To IKEv2 With EDDSA Support
1149,Devesh Kumar,JBoss Community,Create and Enhance APIs related to Education Platform
1150,Katrix,Scala Center,Cross compiling “Shapeless 2” to “Scala 3”
1151,Eshan Tripathi-1,PEcAn Project,Website Updates
1152,Dmitrii Klepikov,OpenCV,3D samples using OpenGL and GLFW
1153,Maximiliano Sandoval,GNOME Foundation,Design tooling: port to gtk 4
1154,dvd48,International Catrobat Association,Sparkling Embroidery
1155,Abhimanyu Rawat,The Honeynet Project,RIoTPot - Honeypot for IOT/OT devices
1156,mablin,Joplin,Kanban Board Plugin for Joplin
1157,Ethin Probst,TianoCore,Audio output protocol
1158,ZheNing Hu,Git,Use ref-filter formats in git cat-file
1159,Noah Bouchier,NumFOCUS,ESDA enhancements: Distortion Index
1160,Asha Sulaiman,CiviCRM LLC,Integrate Spoke Peer-to-Peer Texting
1161,boron,The Linux Foundation,LIDAR visualization application on AGL using ROS2
1162,Pratik Dey,AboutCode,Integrate VirtualCodebase with Deltacode
1163,Vikram Atreyapurapu,BRL-CAD,Implement UNDO and transactional changes
1164,Aaryan Kothari,AOSSIE,Monumento iOS application
1165,Rohan Lekhwani,Rocket.Chat,Poll App Mega Extensions
1166,Aniket Bhat,OWASP Foundation,DefectDojo Modern UI
1167,Wahab Oguntade,Postman,Chatbot for AsyncAPI Creators Project Proposal
1168,Zelong Yue,libvirt,Test driver API coverage
1169,Pratyush Ranjan,The Linux Foundation,CUPS Filters: Converting Filters to Filter Functions
1170,Vishwas Adiga,MIT App Inventor,A Modular Approach To The App Inventor Projects View
1171,Debabrata Mandal,The Julia Language,Network graph visualisation and animation support in Javis
1172,danseraf,Software Heritage,Software Heritage Code Scanner Improvements for Production Environments
1173,Singh Prabhat,BRL-CAD,Adding the Ability To BCF Libraries to connect to BCF API's.
1174,Shivam Singh-3,The Apache Software Foundation,Redesign and develop APISIX landing page
1175,Marvin Häuser,TianoCore,Integration of a verified Image Loader
1176,Apoorv Srivastava,Oppia Foundation,Implement lightweight checkpointing
1177,Alexander Slesarev,PostgreSQL,WAL-G optimization backup storage by remote-copy APIs
1178,Pedro Falcato,TianoCore,EXT4 Filesystem driver
1179,Lohith Munakala,Integrated Ocean Observing System (IOOS),Machine Learning for Sea Floor Sampling and IOOS Demo Data Center migration to Jupyterbook
1180,itssingh,FOSSology,Integrating ScanCode Toolkit
1181,rishabhsingh3003,ArduPilot,Precision Landing Improvements using Depth Camera
1182,DEVANSH DIXIT,CircuitVerse.org,Project Recommendation System
1183,Param Mirnai,OpenMined,Integrating scikit-learn into Syft
1184,isabella Macchivello,Orcasound,Changing the frontend of OrcaSound
1185,Syed Fahad,Boost C++ Libraries,Implementation of a new Quad-double type for Boost.Multiprecision
1186,Fernando Casabán Blasco,DBpedia,Web app to generate RDF from DBpedia abstracts - Fernando Casabán Blasco
1187,Bala Dhinesh,Free and Open Source Silicon Foundation,Virtual FPGA Lab
1188,ear7h,Haskell.org,TOML Support in dhall-haskell
1189,Sagilio,Casbin,Casbin for .NET
1190,Aditya Ahuja,Machine Learning for Science (ML4SCI) Umbrella Organization,Normalizing Flows for Fast Detector Simulation
1191,Yash Mathne,syslog-ng,Investigate the current state of syslog ng on MacOS
1192,willpiper,ArduPilot,Custom Firmware Builder
1193,Filip Adamik,The Honeynet Project,A Stitch In Time (saves nine)
1194,Archit_Agrawal,CERN-HSF,RooUnfold - Efficient deconvolution using state of the art algorithms
1195,kfb19,OpenMRS,Tackle Security Issues of OpenMRS
1196,Ishaan Arora,Inkscape,Upgrade Django-based Website
1197,Piumal Rathnayake,OpenMRS,Improving Functionalities of DHIS Connector Module
1198,Anantha Rao,Machine Learning for Science (ML4SCI) Umbrella Organization,Decoding quantum states through Nuclear Magnetic Resonance
1199,Psyogi Soma,INCF,Re-creating the Leech Heartbeat Network Model Tutorial using the Neuron Simulator in Python and NeuroML
1200,Nizar Benshaqi,VideoLAN,Improve the VideoLAN crash reporter in Go and Vue.js
1201,Pulkit Sharma,Continuous Delivery Foundation,Security Validator for Jenkins Kubernetes Operator
1202,Mohammad Hesam Shaelaie,NumFOCUS,Expanding support for the solution of bilevel optimization problems in JuMP.
1203,Bui Quang Minh,CRIU,Add support for checkpoint/restore read and write queue of UDP socket
1204,Husni Faiz,RTEMS Project,Beagleboard BSP Projects
1205,Mahak Porwal,Kiwix,WP1 Selection
1206,Konstantinos Pallikaris,GeomScale,Parallel Geometric Random Walks with Sparse Numerical Optimizations
1207,Yeshuai Cui,CNCF,Merge Crossplane/OAM-Runtime with KubeVela by specify version
1208,Allan Juan,Rocket.Chat,Language Power Tools
1209,georgevdl,VideoLAN,MPD Server in VLC
1210,Pushpinder Pal Singh,VideoLAN,Making VLC iOS app a one stop shop for all the media consumption and management
1211,Akshay_Sharma,Python Software Foundation,Create a MIME Sniffing Library for Scrapy
1212,Tomoki Sugiura,Cilium,Explicit Allow-Listing for ICMP
1213,Rohit Menon,Ruby,Ractor-supported libraries
1214,Abanoub Ghadban,GNOME Foundation,tracker: Improve custom ontology support
1215,Mario Robert D'Ambrosio,AerospaceResearch.net,Python GUI Visualisation for MOLTO-3BP Engine
1216,Siddharth Naithani ;sn99,Xiph.Org Foundation,Implement butteraugli in av-metrics
1217,Rachitt Shah,openastronomy,Stingray: DAVE GUI update
1218,Mariam Fahmy,KDE Community,Adding new activities to GCompris
1219,Nitesh Sinha,OpenWISP,New General Navigation Menu and UX improvements
1220,victorcwai,openSUSE Project,Update Kanidm project: MFA backup code
1221,Ali A. Hariri,Machine Learning for Science (ML4SCI) Umbrella Organization,On the potential of graph-based models in High Energy Physics
1222,aniketiq,MediaPipe,MediaPipe Cross-Platform Solution
1223,Monalisha Ojha,CERN-HSF,Upgrading the Ganga graphical user interface
1224,Cameron Connell,Plan 9 Foundation,Modernize the underlying data struct of edwood
1225,Vaibhav Thakkar,GeomScale,Counting linear extensions
1226,zhixiang Chen,Casbin,casbin enhancement
1227,Angie Ortiz Giraldo,freifunk,LibreMesh Pirania UI
1228,Shuai Wang,Ceph,LIBCEPHFSSQLITE — SQLite VFS on Ceph File System
1229,Steph Prince,INCF,Conversion of public neurophysiology datasets to NeuroData Without Borders format
1230,Aayush Sahu,Postman,AsyncDiff
1231,SKefalidis,Xfce,Thunar Evolved
1232,Jaidyn Levesque,Haiku,Caya Renovation
1233,Justin Fargnoli,Swift,Alive2 for SIL
1234,Rohit Verma,Xiph.Org Foundation,(Live) listener statistics for Icecast
1235,Khuda Dad Nomani,Postman,AsyncAPI duplications finder aka document optimizer
1236,Krishna Kariya,The LLVM Compiler Infrastructure,Fix Fundamental Issues in LLVM IR
1237,Vishal Mishra,Xiph.Org Foundation,Adding a return channel to Icecast server
1238,peymaneh,Debian,Packaging Caddy
1239,Tushar Kumar-2,LibreOffice,Implement Interface for external data source import into Calc
1240,Aswin C,Rizin,Support for CPU and Platform Profiles
1241,Xiaoyu Qiu,syslog-ng,GSoC 2021 Proposal: Add regexp-parser() (Xiaoyu Qiu)
1242,Ritik Malik,CHAOSS Project,Automate Metrics Release and Process Improvement
1243,Maanas Talwar,SCoRe Lab,GSoC 2021 Proposal for Scan8
1244,sgeisler,TensorFlow,Details often make the difference and I pay attention to them! Coding experience meets state of the art research
1245,Davide Pietrasanta,VideoLAN,Real-time subtitles for movies
1246,Amarthya Sasi Kiran,RoboComp,Software agent for traffic and pedestrian traffic monitoring in outdoor environments using RGB cameras.
1247,Swapnil Tripathi,KDE Community,Alligator : Podcast Support
1248,Mengan Wang,Project WikiLoop,First-Ever Tibetan Spell Checker
1249,Matthew Joyce,RTEMS Project,Adding New APIs from POSIX Standard 2021
1250,Luca Ferranti,The Julia Language,Developing IntervalLinearAlgebra.jl
1251,Bisakh Mondal,Chromium,Port power policies end-to-end tests
1252,Daksh Doshi,Sugar Labs,Music Blocks Project Blocks Reorganization
1253,Angela Remolina,Python Software Foundation,Improving Python’s online interpreter and more interactive exercises
1254,Aashwin Vaish,ScummVM,GUI for Game Library Management
1255,Shashwat Jaiswal,Checkstyle,Adaptation of Behavior Driven Development Ideas for Testing of Source Code Validation Algorithms
1256,Riya Kalra,openSUSE Project,Convert Virtual Systems Page to ReactJS
1257,Mohit Bhat,SCoRe Lab,NodeCloud - Digital Ocean Provider
1258,Himanshu Garg,MIT App Inventor,ANIMATION IMPROVEMENTS
1259,Smriti Tiwari,GeomScale,Detecting low Volatility anomaly in Stock Market
1260,Asela Dasanayaka,SCoRe Lab,Revive TensorMap
1261,Kartikey Rawat,TensorFlow,Implement Kernels for TensorFlow.JS WASM backend
1262,peb,Python Software Foundation,Checker Creation Helper Script and Recommending Safe package versions
1263,Natáli Anzanello,openastronomy,Astrometry - Gnuastro
1264,Jan Gruber,The Honeynet Project,Extending DRAKVUF by an I/O-emulation module in order to camouflage its sandbox nature
1265,sayshreya,FOSSology,ATARASHI - MINERVA
1266,Gourab Chakraborty,Apertium,Adopting the Hindi-Bengali language pair (unreleased language pair).
1267,grimmmyshini,CERN-HSF,Add numerical differentiation support in Clad
1268,Pan Yue,Boost C++ Libraries,Boost.Python: asyncio event loop implementation using Boost.Asio
1269,Simardeep Singh Sethi,NumFOCUS,Equadratures: Web Application based on Uncertainty Quantification
1270,Shreyas Swanand Atre,BeagleBoard.org Foundation,Beagle-Config
1271,Jixin Chen,"Center for Research in Open Source Software, UC Santa Cruz","Alpine, macOS support"
1272,Xuewei Meng,FFmpeg,Guided Filter in FFmpeg
1273,Trevor Karn,SageMath,G-invariants of the Orlik-Solomon and Orlik-Terao algebras
1274,Ricardo Antunes,OpenCV,3D samples using OpenGL and GLFW
1275,Shadow,SCoRe Lab,Proposal for CodeLabZ
1276,Mahavir Singh,LibreHealth,Improve LibreHealth Toolkit Cost Of care Flutter Application And Web-App
1277,Lorxu,The Terasology Foundation,Distinct Terrain Features for Metal Renegades
1278,Beshiniii,SCoRe Lab,"CrawlerX - Develop Extensible, Distributed, Scalable Web Crawling System"
1279,ricekot,OWASP Foundation,Adding Out-of-band Application Testing (OAST) Support to ZAP
1280,Vaibhaw Khemka,RoboComp,Monocular Depth Estimation from RGB signals
1281,Priyansh Garg,Zulip,Port Zulipbot to GitHub Actions
1282,Akshat,Zulip,Refactor frontend-markdown processor using an extensible CommonMark parser
1283,Omar Emara,The LLVM Compiler Infrastructure,Evolving the LLDB GUI
1284,Lakshmi S,Free and Open Source Silicon Foundation,Black Parrot on Open-Source Google-Skywater 130nm node
1285,Anustup Mukherjee,TensorFlow,Models to TF HUB and Garden
1286,Yash Khasbage,Red Hen Lab,Anonymizing Audiovisual Data
1287,Konstantina Skovola,PostgreSQL,Create procedural language extension for the Julia programming language
1288,Abhishek Rawat,BRL-CAD,Generator for offline documentation
1289,Boqian Xie,Casbin,Proposal for Casdoor and Casnode
1290,SOUGATA DAS,SCoRe Lab,CodeLabs - FrontEnd Improvements
1291,Thirumalai Shaktivel C,Fortran-lang,Finish AST generation
